0000 language_model.embed_tokens Embedding in=[([1, 3116], 'torch.int64', 'cpu')] out=([1, 3116, 2048], 'torch.float32', 'cpu')
0043 visual.blocks.5.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0044 visual.blocks.5.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0045 visual.blocks.5.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0046 visual.deepstack_merger_list.0.norm LayerNorm in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 4096], 'torch.float32', 'cpu')
0047 visual.deepstack_merger_list.0.linear_fc1 Linear in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 4096], 'torch.float32', 'cpu')
0048 visual.deepstack_merger_list.0.act_fn GELU in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 4096], 'torch.float32', 'cpu')
0049 visual.deepstack_merger_list.0.linear_fc2 Linear in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 2048], 'torch.float32', 'cpu')
0050 visual.blocks.6.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0051 visual.blocks.6.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0052 visual.blocks.6.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0053 visual.blocks.6.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0054 visual.blocks.6.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0055 visual.blocks.6.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0056 visual.blocks.6.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0057 visual.blocks.7.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0058 visual.blocks.7.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0059 visual.blocks.7.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0060 visual.blocks.7.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0061 visual.blocks.7.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0062 visual.blocks.7.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0063 visual.blocks.7.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0064 visual.blocks.8.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0065 visual.blocks.8.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0066 visual.blocks.8.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0067 visual.blocks.8.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0068 visual.blocks.8.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0069 visual.blocks.8.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0070 visual.blocks.8.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0071 visual.blocks.9.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0072 visual.blocks.9.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0073 visual.blocks.9.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0074 visual.blocks.9.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0075 visual.blocks.9.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0076 visual.blocks.9.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0077 visual.blocks.9.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0078 visual.blocks.10.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0079 visual.blocks.10.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0080 visual.blocks.10.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0081 visual.blocks.10.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0082 visual.blocks.10.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0083 visual.blocks.10.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0084 visual.blocks.10.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0085 visual.blocks.11.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0086 visual.blocks.11.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0087 visual.blocks.11.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0088 visual.blocks.11.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0089 visual.blocks.11.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0090 visual.blocks.11.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0091 visual.blocks.11.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0092 visual.deepstack_merger_list.1.norm LayerNorm in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 4096], 'torch.float32', 'cpu')
0093 visual.deepstack_merger_list.1.linear_fc1 Linear in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 4096], 'torch.float32', 'cpu')
0094 visual.deepstack_merger_list.1.act_fn GELU in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 4096], 'torch.float32', 'cpu')
0095 visual.deepstack_merger_list.1.linear_fc2 Linear in=[([3102, 4096], 'torch.float32', 'cpu')] out=([3102, 2048], 'torch.float32', 'cpu')
0096 visual.blocks.12.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0097 visual.blocks.12.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0098 visual.blocks.12.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0099 visual.blocks.12.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0100 visual.blocks.12.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0101 visual.blocks.12.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0102 visual.blocks.12.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0103 visual.blocks.13.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0104 visual.blocks.13.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0105 visual.blocks.13.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0106 visual.blocks.13.norm2 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0107 visual.blocks.13.mlp.linear_fc1 Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0108 visual.blocks.13.mlp.act_fn GELUTanh in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 4096], 'torch.float32', 'cpu')
0109 visual.blocks.13.mlp.linear_fc2 Linear in=[([12408, 4096], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0110 visual.blocks.14.norm1 LayerNorm in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
0111 visual.blocks.14.attn.qkv Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 3072], 'torch.float32', 'cpu')
0112 visual.blocks.14.attn.proj Linear in=[([12408, 1024], 'torch.float32', 'cpu')] out=([12408, 1024], 'torch.float32', 'cpu')
